# Curated AADR "Group ID" -> deep ancestral component map.
# Two tab-separated columns: <AADR Group ID>	<component code>. Lines starting with #
# are ignored. ONLY listed groups become source-population references; everything else in
# the AADR is dropped. This file is the one expertise-driven artifact of the pipeline —
# review/extend it against the current AADR .anno labels and the source set you intend.
#
# Component codes should match (or be added to) the ancestry catalog in
# navigator-domain::ancestry (population_name / color / super rollup).
#
# Group ID	component
# ── West-Eurasian deep ancestries ───────────────────────────────────────────────
Russia_Yamnaya_Samara	Steppe
Russia_Yamnaya_Kalmykia	Steppe
Turkey_N	ANF
Anatolia_N	ANF
WHG	WHG
Italy_North_Villabruna_HG	WHG
Russia_HG_Karelia	EHG
Russia_Karelia_HG	EHG
Georgia_CHG	CHG
Iran_GanjDareh_N	Iran_N
Russia_MA1_HG.SG	ANE
# ── South Asian ─────────────────────────────────────────────────────────────────
India_Onge.DG	AASI
Onge.DG	AASI
# ── East Asian ──────────────────────────────────────────────────────────────────
China_Han.DG	EastAsian
Han.DG	EastAsian
Russia_DevilsCave_N	EastAsian
# ── Native American ─────────────────────────────────────────────────────────────
USA_Anzick.SG	NativeAmerican
Karitiana.DG	NativeAmerican
# ── Oceanian ────────────────────────────────────────────────────────────────────
Papuan.DG	Oceanian
# ── Sub-Saharan African ─────────────────────────────────────────────────────────
Mbuti.DG	African
Yoruba.DG	African

# ════════════════════════════════════════════════════════════════════════════════
# v66.p1-verified Group IDs (the labels above pre-date v66.p1 and mostly no longer match;
# auto-surfaced from the v66.p1 .anno — see pops/aadr_v66p1_ancient_groupids.tsv). These are the
# canonical, well-sampled deep references actually present in this release. Reviewed counts shown.
# ════════════════════════════════════════════════════════════════════════════════
# Steppe (Yamnaya / Afanasievo EBA)
Russia_Samara_EBA_Yamnaya	Steppe
Russia_Kalmykia_EBA_Yamnaya	Steppe
Russia_Rostov_EBA_Don_Yamnaya	Steppe
Russia_Khakassia_Afanasievo	Steppe
Moldova_EBA_Yamnaya	Steppe
# ANF — Anatolian Neolithic (Turkey_N above already matches, n=68)
#
# WHG — Western hunter-gatherer (the Villabruna cluster). France_Mesolithic alone gives n=18, which
# works out to only ~6.8 called samples per panel site — far too sparse for a stable allele frequency
# (SE ≈ 0.19 at f=0.5). These are the v66.p1 groups that are unambiguously Villabruna-cluster WHG;
# together n=74 (~28 calls/site).
# DELIBERATELY EXCLUDED — each is a real hunter-gatherer population, just not *this* one:
